left_knee_angle,nose_conf,left_eye_conf,right_eye_conf,left_ear_conf,right_ear_conf,left_shoulder_conf,right_shoulder_conf,left_elbow_conf,right_elbow_conf,left_wrist_conf,right_wrist_conf,left_hip_conf,right_hip_conf,left_knee_conf,right_knee_conf,left_ankle_conf,right_ankle_conf,accel_x,gyro_x,accel_y,gyro_y,accel_z,gyro_z,accel_magnitude,label,timestamp
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,5.992112452642428e-07,0.02397153985844967,0.19999999999640947,0.04387898445514389,1.000004793689962,2.3968449810139413e-07,1.000004793689962,good,1743648268.1150262
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.012573467988103066,0.02929816670759182,0.19841278086607372,0.04051687830490102,1.1005877439048246,0.004989473497300174,1.1005877439048246,good,1743648268.2153435
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.02494287040482311,0.034158334785698054,0.19367863295643328,0.036513123184249395,1.199542963238585,0.009661802084031236,1.199542963238585,good,1743648268.3156285
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.036917696273010496,0.03847708802211085,0.1858718235978089,0.031929824574192925,1.295341570184084,0.013723919058588989,1.295341570184084,good,1743648268.4159224
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.048309115350476564,0.042186151087830276,0.17511401284939307,0.026838939181621103,1.3864729228038124,0.01691920609245233,1.3864729228038124,good,1743648268.5162365
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.058932067641953224,0.04522525324523362,0.16157984284488272,0.021323143973262626,1.4714565411356257,0.0190444684562216,1.4714565411356257,good,1743648268.6165328
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.06892905329211267,0.04761229891618221,0.14489700634938035,0.015266597260559242,1.5514324263369015,0.01997522694504805,1.5514324263369015,good,1743648268.7202156
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.07748544424870601,0.04915313300426525,0.12642793883601317,0.009163488193096031,1.6198835539896481,0.019592650012313424,1.6198835539896481,good,1743648268.8204637
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.08481554227481436,0.049915043674944565,0.10594949341321419,0.0029134884465837094,1.6785243381985149,0.017972327475167266,1.6785243381985149,good,1743648268.9207382
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.09079815487510788,0.049885647065215755,0.08380203031611883,-0.0033796770385246568,1.7263852390008632,0.015218139454982885,1.7263852390008632,good,1743648269.0209644
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.09533897906272311,0.04906704078415086,0.060348291484602815,-0.009613818631869255,1.7627118325017848,0.011507088996643315,1.7627118325017848,good,1743648269.1211016
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.09837213183784059,0.047472490729326036,0.03594015457276229,-0.015695942913825013,1.7869770547027248,0.007071019247808282,1.7869770547027248,good,1743648269.221239
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.09985003013530769,0.04512565933699966,0.010949243257530824,-0.021533111001456707,1.7988002410824615,0.0021865645384465345,1.7988002410824615,good,1743648269.321434
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.09974766930788694,0.04206657408466716,-0.014198939065216335,-0.02702597537146827,1.7979813544630954,-0.0028326221568000724,1.7979813544630954,good,1743648269.4215648
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.09806721903976773,0.038340868436046345,-0.03913160103068723,-0.03209326732462411,1.7845377523181418,-0.00767505457930641,1.7845377523181418,good,1743648269.521732
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.09483414416694332,0.03400747219351107,-0.06345029866354966,-0.03665367423611952,1.7586731533355464,-0.012034509541789355,1.7586731533355464,moderate,1743648269.6219213
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.09009348995646227,0.029129799928685658,-0.08679085360715916,-0.040638094887860396,1.7207479196516982,-0.01563858179553876,1.7207479196516982,moderate,1743648269.7222266
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.08392736985110877,0.023793195096077163,-0.10874183353015897,-0.04397594646076432,1.6714189588088701,-0.018252832161946703,1.6714189588088701,moderate,1743648269.8224728
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.07643868277533848,0.018084956835438492,-0.1289515843341395,-0.046614743764825384,1.611509462202708,-0.01971377849658919,1.611509462202708,moderate,1743648269.922626
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.06774137124985764,0.012090997950225859,-0.14712044890074202,-0.04851605681181885,1.541930969998861,-0.01993228189486175,1.541930969998861,moderate,1743648270.0227733
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.05797393618642345,0.005906613731063491,-0.16296039669873785,-0.049649893395978334,1.4637914894913875,-0.018894911278253754,1.4637914894913875,moderate,1743648270.1229074
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.047290135958444016,-0.00037096132888186114,-0.1762230750047437,-0.049998623857987076,1.378321087667552,-0.01666722635197881,1.378321087667552,moderate,1743648270.2230382
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.035850621358650074,-0.006646902324173605,-0.1867054680313215,-0.04955621746555013,1.2868049708692006,-0.013387014079960907,1.2868049708692006,moderate,1743648270.323237
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.023845714844352734,-0.01281648622367,-0.19423060401040632,-0.048329470107569744,1.190765718754822,-0.009263135194557086,1.190765718754822,moderate,1743648270.4234173
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.011459432502198762,-0.018785064006514248,-0.1986824743828962,-0.04633704101764768,1.0916754600175902,-0.004553576809121267,1.0916754600175902,moderate,1743648270.5236294
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,-0.0011179550921045364,-0.024460327836938234,-0.19998750137358123,-0.043608397839286696,0.9910563592631637,0.00044715409103571614,0.9910563592631637,moderate,1743648270.623918
180.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.8,-0.013696366957297743,-0.029755219729297868,-0.19811521427867212,-0.04018242027132267,0.8904290643416181,0.005426917349168734,0.8904290643416181,moderate,1743648270.7243574
